messages,all_authors,timestamps,money
:check_mark_button:ISSAC DESERVES FREE RENT FOR LIFE:check_mark_button:,ROAD MAN,4:26,0
#JUSTICEFORJOHNYSEPP,jessica van schalkwyk,4:26,0
"Well, best get the kettle on then ",charlotte smith,4:29,0
Let’s go lets go day 3 SHE IS GOING DOWN,harun sıcakyüz,4:30,0
Good Morning Westers! Good Afternoon Centralers! Good Evening Easters!,NurRayArt,4:30,0
:green_heart:,Deidre Smith,4:31,0
Why is there a disturbing noise?!!,Brooke Beauchesne,4:32,0
Elon to busy tweeting,Gillian ,4:33,0
@Nessa Very smart you are,Avian98X,4:34,0
SAY YES TO FREEDOM TO SAY WHAT YOU WANT IN ANGER FROM BEING CONSTANTLY ACCUSED OF NONSENSE CLAIMS,Brooke B,4:35,0
great teath Amica cream yes yes yes :neutral_face::neutral_face::rolling_on_the_floor_laughing::face_with_tears_of_joy::face_with_tears_of_joy:,The Thinker,4:36,0
This is the longest cuss out ever,Liberty's Sweetheart,4:37,0
I hope Annika cream testifies today,Cindy Ferenburg,4:37,0
"Guys remember Drugs, Alcohol = Violence:exploding_head::exploding_head::exploding_head:",Vsync,4:38,0
what happens when amber is guilty is she being arrested or?,Smartyzs,4:40,0
Love u captain Jack sparrow,Nolan A Hannigan,4:43,0
what is this beeping sound???,jonneballonge,4:45,0
Hello everyone,imocchidoro,4:45,0
It was meant to start at 2pm in Uk,Aaisha Ditta,4:47,0
people testifying today jd security jd social manager and kate james,Molly 0,4:48,0
@Jackie Farley I agree,Jessica Foss,4:49,0
Is James Franco on her side?,Sarah Healy,4:49,0
I live in Europe so what time is it starting for us?,Laura B,4:50,0
:rose::rose::rose::rose::rose:For you Johnny...Respect,dodgingbullets,4:51,0
@Darien Cabral seriously gross ,Faye T,4:53,0
10 am Eastern Time ,jkhappy1234,4:53,0
Isaacs was amazing yesterday!,jerney4974,4:53,0
the morning just started and you guys are already doing things to get your comments deleted smh,Reyana Smalls,4:54,0
BPpark Johnny is rich he lives different and he invited him to live he didn't force his way in,Crayon Writer,4:55,0
Hello all,James Walton,4:55,0
"We get it , AH doesn't have a pulse ",Ahmed shakib,4:57,0
"CAUTION : TN STATE TROPPERS , Crooked, Bullies, Liars.",Jenilee,4:59,0
@paul there is NOTHING to like abt amber ,Maria Osornio,4:59,0
No arrests it’s a civil trial ,BPark,5:02,0
@Brooke you hear ambers lawyers again too huh. ,Darien Cabral,5:02,0
Justice for Amber? Yeah she is going to get what’s coming…,Pmz,5:05,0
brb need coffee,Sassy but Classy,5:06,0
Amber reminds of Glen Close in Fatal Attraction,Soleil Deas,5:06,0
I hope the security footage ahows something today. yesterday was useless. besides Isaac's testimony lol,SweetDreamz,5:07,0
@Cameron Elliott Ambe's entire defense in a nutshell lmao ,Avian98X,5:10,0
"No this is a civil trial, not criminal. No arrests will be made.",Chanley,5:10,0
Just mute it until it starts ,LadyNYC211,5:11,0
"So, today on the stand, the prosecution is calling up LOUD WHISTLE.",92RedRevolver,5:12,0
WHEN DOES IT START I NEEDA SLEEP,clownery luv,5:12,0
Let,Laura Garcia,5:13,0
"if I kiss a girl on the cheek, I think I could tell if she has makeup on what do you guys think?",Raider Rog,5:16,0
Did anyone else get annoyed while watching Amber and her friends holding the elevator like that?,Talar Ohanes,5:17,0
who is Kate James??,The Thinker,5:18,0
@Laura B 4 pm for us in Europe,darkshine,5:21,0
Hey you wanna hear the most annoying sound in the world?,HOTR,5:23,0
"THey need to start earlier, maybe at 9am ",James Walton,5:29,0
"I must say it's gonna be hard to top Isaac from yesterday, entertainment wise. It was friggin boring after he left",sm0ki,5:30,0
ISAAC WAS TRUELY A GREAT WITNESS.,Begitte Olsen,5:30,0
Yeahh ambers lawyers are ridiculous lol ,Brooke B,5:30,0
GO TEAM JD!!!! All the best today!!! :dizzy::dizzy::dizzy:,headintheclouds,5:31,0
Amber could face 4 years jail time I heard but it's not for this case. this is defamation case against her (I believe its mostly about money),Terry Oma,5:31,0
"@Smartyzs Elon Musk is going to have to pay her $50 fees if she loses, because she def doesn't have the mony",Violent Hippie,5:32,0
Is James frinco Hailery cuffs man ?,jessica van schalkwyk,5:33,0
Ambers defendant is a waffled doesn’t know what she is saying ,Aaisha Ditta,5:35,0
When does this begin? Yesterday there wasn’t this terrible sound ,emily gusel,5:36,0
this is a civil suit not one will be arrested,Jessica Foss,5:37,0
the noise!!!!,Mary Ficarra,5:39,0
:thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:,Not bothered,5:39,0
10 am Eastern Time ,jkhappy1234,5:40,0
It starts on the min of the next hour. In 22 mins.,Avian98X,5:42,0
I drank a glass of wine 3 years ago (and haven’t since) Now I am a violence man ,harun sıcakyüz,5:42,0
JOHNNYS FORMER SECURITY GUARD AND HIS SOCIAL MEDIA MANAGER ARE SPEAKING TODAY!,tia,5:46,0
Issac has a lot to lose if Depo can’t make money and that makes him an unreliable witness ,BPark,5:46,0
"“Tell the world Johnny. Tell them, I Johnny Depp, a man, am a victims too of domestic violence and see who will believe or side with you.”- Amber Heard. She is NOT a victim. Go Johnny! ",Lady Love,5:47,0
We don’t care if amber goes to prison or not. WE WANT JUSTICE FOR HIM ,Laura B,5:48,0
Virginia Is 9:38 am,Bella_Moon🦋,5:48,0
@talar yeeesssssss! I got very annoyed. selfish,Ola,5:50,0
"@Raider Rog are you kissing her hard on the cheek, though?",Dee,5:52,0
my ears,Sumbich,5:53,0
goodmorningggggg,Hannah Allard,5:53,0
kate james is the girl amber allegedly stole the sa story of ,Molly 0,5:54,0
JUST START OMLLLLLLLL,Maria Osornio,5:54,0
10am it starts. 22 minutes from now :loudspeaker::loudspeaker::loudspeaker::loudspeaker::loudspeaker:,SweetDreamz,5:55,0
@The Thinker Ambers former asst.,Shayna NJ,5:55,0
Lol @ the AH has “no pulse” comment ,Roguehouse,5:56,0
:flushed_face::flushed_face::flushed_face:,Katie M McReynolds,5:56,0
Kate James is Amber's formal personal assistant.,JennBoogie613,5:57,0
20 m i n u t e s,Vsync,5:57,0
has the court started yet,summer biswas,5:58,0
No but you can definitely tell if there’s a bruise. NEWS FLASH makeup doesn’t hide DV ,K T,5:59,0
love this song,Julia Bloom,6:00,0
Ok Johhny how do you kiss on the cheek like the pressure,darkshine,6:00,0
